,team_name,year_played,wins,losses,ot_losses,win_percentage,goals_for,goals_against
484,Phoenix Coyotes,2008,36,39,7,0.439,208,252
485,Pittsburgh Penguins,2008,45,28,9,0.549,264,239
486,San Jose Sharks,2008,53,18,11,0.646,257,204
487,St. Louis Blues,2008,41,31,10,0.5,233,233
488,Tampa Bay Lightning,2008,24,40,18,0.293,210,279
489,Toronto Maple Leafs,2008,34,35,13,0.415,250,293
490,Vancouver Canucks,2008,45,27,10,0.549,246,220
491,Washington Capitals,2008,50,24,8,0.61,272,245
492,Anaheim Ducks,2009,39,32,11,0.476,238,251
493,Atlanta Thrashers,2009,35,34,13,0.427,234,256
494,Boston Bruins,2009,39,30,13,0.476,206,200
495,Buffalo Sabres,2009,45,27,10,0.549,235,207
496,Calgary Flames,2009,40,32,10,0.488,204,210
497,Carolina Hurricanes,2009,35,37,10,0.427,230,256
498,Columbus Blue Jackets,2009,32,35,15,0.39,216,259
499,Chicago Blackhawks,2009,52,22,8,0.634,271,209
500,Colorado Avalanche,2009,43,30,9,0.524,244,233
501,Dallas Stars,2009,37,31,14,0.451,237,254
502,Detroit Red Wings,2009,44,24,14,0.537,229,216
503,Edmonton Oilers,2009,27,47,8,0.329,214,284
504,Florida Panthers,2009,32,37,13,0.39,208,244
505,Los Angeles Kings,2009,46,27,9,0.561,241,219
506,Minnesota Wild,2009,38,36,8,0.463,219,246
507,Montreal Canadiens,2009,39,33,10,0.476,217,223
508,Nashville Predators,2009,47,29,6,0.573,225,225
509,New Jersey Devils,2009,48,27,7,0.585,222,191
510,New York Islanders,2009,34,37,11,0.415,222,264
511,New York Rangers,2009,38,33,11,0.463,222,218
512,Ottawa Senators,2009,44,32,6,0.537,225,238
513,Philadelphia Flyers,2009,41,35,6,0.5,236,225
514,Phoenix Coyotes,2009,50,25,7,0.61,225,202
515,Pittsburgh Penguins,2009,47,28,7,0.573,257,237
516,San Jose Sharks,2009,51,20,11,0.622,264,215
517,St. Louis Blues,2009,40,32,10,0.488,225,223
518,Tampa Bay Lightning,2009,34,36,12,0.415,217,260
519,Toronto Maple Leafs,2009,30,38,14,0.366,214,267
520,Vancouver Canucks,2009,49,28,5,0.598,272,222
521,Washington Capitals,2009,54,15,13,0.659,318,233
522,Anaheim Ducks,2010,47,30,5,0.573,239,235
523,Atlanta Thrashers,2010,34,36,12,0.415,223,269
524,Boston Bruins,2010,46,25,11,0.561,246,195
525,Buffalo Sabres,2010,43,29,10,0.524,245,229
526,Calgary Flames,2010,41,29,12,0.5,250,237
527,Carolina Hurricanes,2010,40,31,11,0.488,236,239
528,Columbus Blue Jackets,2010,34,35,13,0.415,215,258
529,Chicago Blackhawks,2010,44,29,9,0.537,258,225
530,Colorado Avalanche,2010,30,44,8,0.366,227,288
531,Dallas Stars,2010,42,29,11,0.512,227,233
532,Detroit Red Wings,2010,47,25,10,0.573,261,241
533,Edmonton Oilers,2010,25,45,12,0.305,193,269
534,Florida Panthers,2010,30,40,12,0.366,195,229
535,Los Angeles Kings,2010,46,30,6,0.561,219,198
536,Minnesota Wild,2010,39,35,8,0.476,206,233
537,Montreal Canadiens,2010,44,30,8,0.537,216,209
538,Nashville Predators,2010,44,27,11,0.537,219,194
539,New Jersey Devils,2010,38,39,5,0.463,174,209
540,New York Islanders,2010,30,39,13,0.366,229,264
541,New York Rangers,2010,44,33,5,0.537,233,198
542,Ottawa Senators,2010,32,40,10,0.39,192,250
543,Philadelphia Flyers,2010,47,23,12,0.573,259,223
544,Phoenix Coyotes,2010,43,26,13,0.524,231,226
545,Pittsburgh Penguins,2010,49,25,8,0.598,238,199
546,San Jose Sharks,2010,48,25,9,0.585,248,213
547,St. Louis Blues,2010,38,33,11,0.463,240,234
548,Tampa Bay Lightning,2010,46,25,11,0.561,247,240
549,Toronto Maple Leafs,2010,37,34,11,0.451,218,251
550,Vancouver Canucks,2010,54,19,9,0.659,262,185
551,Washington Capitals,2010,48,23,11,0.585,224,197
552,Anaheim Ducks,2011,34,36,12,0.415,204,231
553,Boston Bruins,2011,49,29,4,0.598,269,202
554,Buffalo Sabres,2011,39,32,11,0.476,218,230
555,Calgary Flames,2011,37,29,16,0.451,202,226
556,Carolina Hurricanes,2011,33,33,16,0.402,213,243
557,Columbus Blue Jackets,2011,29,46,7,0.354,202,262
558,Chicago Blackhawks,2011,45,26,11,0.549,248,238
559,Colorado Avalanche,2011,41,35,6,0.5,208,220
560,Dallas Stars,2011,42,35,5,0.512,211,222
561,Detroit Red Wings,2011,48,28,6,0.585,248,203
562,Edmonton Oilers,2011,32,40,10,0.39,212,239
563,Florida Panthers,2011,38,26,18,0.463,203,227
564,Los Angeles Kings,2011,40,27,15,0.488,194,179
565,Minnesota Wild,2011,35,36,11,0.427,177,226
566,Montreal Canadiens,2011,31,35,16,0.378,212,226
567,Nashville Predators,2011,48,26,8,0.585,237,210
568,New Jersey Devils,2011,48,28,6,0.585,228,209
569,New York Islanders,2011,34,37,11,0.415,203,255
570,New York Rangers,2011,51,24,7,0.622,226,187
571,Ottawa Senators,2011,41,31,10,0.5,249,240
572,Philadelphia Flyers,2011,47,26,9,0.573,264,232
573,Phoenix Coyotes,2011,42,27,13,0.512,216,204
574,Pittsburgh Penguins,2011,51,25,6,0.622,282,221
575,San Jose Sharks,2011,43,29,10,0.524,228,210
576,St. Louis Blues,2011,49,22,11,0.598,210,165
577,Tampa Bay Lightning,2011,38,36,8,0.463,235,281
578,Toronto Maple Leafs,2011,35,37,10,0.427,231,264
579,Vancouver Canucks,2011,51,22,9,0.622,249,198
580,Washington Capitals,2011,42,32,8,0.512,222,230
581,Winnipeg Jets,2011,37,35,10,0.451,225,246
